id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
101165,100483,town,,,Sutherland,,,,,,,,,,,6920,6920,-32.3928781,20.6616430,2024-03-27T05:03:22.123771+00:00
101166,101171,town,,,Suurbraak,,,,,,,,,,,,6743,-34.0377062,20.6399255,2024-03-27T05:03:23.590287+00:00
101167,100175,town,,,Suurman,,,,,,,,,,,0407,0428,-25.3666309,28.2211377,2024-03-27T05:03:19.273252+00:00
101168,101316,local_municipality,WC015,municipal_code,Swartland,,,,,,,,,,,,,-33.2991510,18.3992969,2024-03-27T05:03:23.785599+00:00
101169,100498,town,,,Swartruggens,,,,,,,,,,,2835,2835,-25.6481591,26.6841528,2024-03-27T05:03:22.550528+00:00
101171,100935,local_municipality,WC034,municipal_code,Swellendam,,,,,,,,,,,,,-34.1121106,20.2168588,2024-03-27T05:03:23.573406+00:00
101170,101171,town,,,Swellendam,,,,,,,,,,,6740,6740,-34.0222345,20.4333820,2024-03-27T05:03:23.595268+00:00
101172,100746,town,,,Taaiboschgroet,,,,,,,,,,,,0718,-22.8463880,28.9059009,2024-03-27T05:03:18.408660+00:00
101173,100900,town,,,Tabankulu,,,,,,,,,,,5130,5130,-30.9613433,29.3048015,2024-03-27T05:03:18.326103+00:00
101174,100175,town,,,Temba,,,,,,,,,,,0407,0407,-25.3789623,28.2648869,2024-03-27T05:03:19.277006+00:00
101175,100266,local_municipality,MP321,municipal_code,Thaba Chweu,,,,,,,,,,,,,-25.0981276,30.3938135,2024-03-27T05:03:21.430204+00:00
101176,100693,town,,,Thaba Phatshwa,,,,,,,,,,,,9771,-29.3146817,27.1123093,2024-03-27T05:03:18.688462+00:00
101178,101177,town,,,Thabazimbi,,,,,,,,,,,0387,0380,-24.5898553,27.3895953,2024-03-27T05:03:21.325785+00:00
101177,101303,local_municipality,LIM361,municipal_code,Thabazimbi,,,,,,,,,,,,,-24.3910833,26.6866436,2024-03-27T05:03:21.307935+00:00
101179,100332,district_municipality,DC19,municipal_code,Thabo Mofutsanyana,,,,,,,,,,,,,-28.1608705,28.0258005,2024-03-27T05:03:18.696600+00:00
101180,100935,local_municipality,WC031,municipal_code,Theewaterskloof,,,,,,,,,,,,,-34.1651615,19.2355536,2024-03-27T05:03:23.601570+00:00
101181,100143,town,,,Thembalesizwe,,,,,,,,,,,6270,,-32.4879925,24.0611221,2024-03-27T05:03:17.704570+00:00
101182,100985,local_municipality,NC076,municipal_code,Thembelihle,,,,,,,,,,,,,-29.7001437,23.6900474,2024-03-27T05:03:22.317222+00:00
101183,100880,local_municipality,MP315,municipal_code,Thembisile Hani,,,,,,,,,,,,,-25.4917870,28.8542929,2024-03-27T05:03:21.842823+00:00
101184,100716,town,,,Theunissen,,,,,,,,,,,9410,9410,-28.4046801,26.7021750,2024-03-27T05:03:18.514096+00:00
101185,101190,town,,,Thohoyandou,,,,,,,,,,,0950,0950,-22.9757962,30.4320235,2024-03-27T05:03:21.200795+00:00
101186,100269,town,,,Thokoza,,,,,,,,,,,3838,3838,-26.3526962,28.1259192,2024-03-27T05:03:19.366414+00:00
101187,100991,town,,,Tholongwe,,,,,,,,,,,,0734,-23.9649861,29.6872309,2024-03-27T05:03:20.854032+00:00
101188,100824,town,,,Thubalethu,,,,,,,,,,,3850,3850,-28.5661637,31.3881307,2024-03-27T05:03:20.524395+00:00
101189,100281,town,,,Thubelihle,,,,,,,,,,,2271,2276,-26.2139546,29.2858153,2024-03-27T05:03:17.962848+00:00
101190,101278,local_municipality,LIM343,municipal_code,Thulamela,,,,,,,,,,,,,-22.9129283,30.4332198,2024-03-27T05:03:21.164746+00:00
101191,100793,town,,,Thulwe,,,,,,,,,,,0419,0419,-25.2311995,28.2020950,2024-03-27T05:03:22.593516+00:00
101192,100224,town,,,Tidimalo,,,,,,,,,,,,8377,-28.4249347,24.3080976,2024-03-27T05:03:21.917646+00:00
101193,100174,town,,,Tigane,,,,,,,,,,,2600,2600,-26.7395232,26.4151568,2024-03-27T05:03:22.680671+00:00
101194,101215,town,,,Tikwana,,,,,,,,,,,,9489,-27.8407805,25.9187031,2024-03-27T05:03:18.643488+00:00
101195,101070,town,,,Tlhabane,,,,,,,,,,,0299,0309,-25.6401548,27.2091225,2024-03-27T05:03:22.640484+00:00
101196,100231,town,,,Tlhabologang,,,,,,,,,,,,2725,-26.3291889,26.2990965,2024-03-27T05:03:22.868369+00:00
101197,100683,town,,,Tlholong,,,,,,,,,,,,9860,-28.3274717,28.6923728,2024-03-27T05:03:18.776757+00:00
101198,100240,local_municipality,NW402,municipal_code,Tlokwe,,,,,,,,,,,,,-26.7170924,26.8948772,2024-03-27T05:03:22.718879+00:00
101199,100602,local_municipality,FS182,municipal_code,Tokologo,,,,,,,,,,,,,-28.3886350,25.0796897,2024-03-27T05:03:18.613638+00:00
101200,100306,town,,,Tongaat,,,,,,,,,,,4399,4400,-29.5761509,31.0943685,2024-03-27T05:03:19.743547+00:00
101201,100123,town,,,Touws River,,,,,,,,,,,6880,6880,-33.3357638,20.0289545,2024-03-27T05:03:22.992110+00:00
101202,100409,town,,,Trafalgar,,,,,,,,,,,,4275,-30.9562643,30.2902262,2024-03-27T05:03:20.033535+00:00
101203,100359,town,,,Trichardt,,,,,,,,,,,2300,2300,-26.4892270,29.2218884,2024-03-27T05:03:21.618729+00:00
101204,100537,town,,,Trompsburg,,,,,,,,,,,9913,9913,-30.0276501,25.7726401,2024-03-27T05:03:18.934077+00:00
101205,101242,town,,,Trust Feed,,,,,,,,,,,,3233,-29.3977093,30.5401129,2024-03-27T05:03:20.246123+00:00
101206,100269,town,,,Tsakane,,,,,,,,,,,1550,1548,-26.3636292,28.3653028,2024-03-27T05:03:19.371032+00:00
101207,101114,local_municipality,NC085,municipal_code,Tsantsabane,,,,,,,,,,,,,-28.2604901,22.9216397,2024-03-27T05:03:22.500165+00:00
101208,100285,town,,,Tshepiso,,,,,,,,,,,1928,1933,-26.6856810,27.8711927,2024-03-27T05:03:19.410794+00:00
101209,100173,town,,,Tshepisong,,,,,,,,,,,1754,1754,-26.1908913,27.7956678,2024-03-27T05:03:19.135695+00:00
101210,100672,town,,,Tshimbupfe,,,,,,,,,,,0983,0983,-23.1764724,30.4817442,2024-03-27T05:03:21.135242+00:00
101211,101272,town,,,Tshing,,,,,,,,,,,2710,2710,-26.3184206,26.7965596,2024-03-27T05:03:22.740385+00:00
101212,100167,local_municipality,EC132,municipal_code,Tsolwana,,,,,,,,,,,,,-31.8337985,25.5138925,2024-03-27T05:03:18.076737+00:00
101213,100869,local_municipality,NW382,municipal_code,Tswaing,,,,,,,,,,,,,-26.5750747,25.4656353,2024-03-27T05:03:22.917183+00:00
