place_type,place_code,code_type,eng,street_code,latitude,longitude
town,,,Mooinooi,325,-25.7517396,27.5552282
town,,,Mooi River,,-29.2111973,29.99667
local_municipality,LIM364,municipal_code,Mookgophong,,-24.500063,28.6424627
town,,,Mookgophong (Naboomspruit),560,-24.5175095,28.7049014
town,,,Moorreesburg,7310,-33.1466212,18.6620888
district_municipality,DC33,municipal_code,Mopani,,-23.5240381,30.731335
local_municipality,FS201,municipal_code,Moqhaka,,-27.6441918,27.2054554
local_municipality,NW371,municipal_code,Moretele,,-25.1853214,27.9389754
town,,,Morgans Bay,5290,-32.7044205,28.3348452
town,,,Morgenzon,2315,-26.7367668,29.6068249
town,,,Morojaneng,9940,-29.5861962,26.6773715
town,,,Morokweng,8614,-26.1277815,23.7691306
local_municipality,NW375,municipal_code,Moses Kotane,,-25.1287022,26.6603717
local_municipality,WC043,municipal_code,Mossel Bay,,-34.073353,21.8919901
district_municipality,DC17,municipal_code,Motheo,,-29.2426312,26.3579402
town,,,Motherwell,6211,-33.8100336,25.5683217
town,,,Motswedimosa,,-29.0251475,24.5859789
town,,,Motsweding,,-27.6858907,24.656119
town,,,Mount Ayliff,4735,-30.8145442,29.3593451
town,,,Mount Frere,5090,-30.8966637,28.9668403
town,,,Mount Moreland,4339,-29.6359499,31.0678317
town,,,Mpeko,,-33.3775183,27.0809849
town,,,Mpembeni,,-28.1169278,31.9152178
town,,,Mphambo,,-23.089698,30.6689082
local_municipality,KZN223,municipal_code,Mpofana,,-29.1927641,29.8418897
town,,,Mpolweni,,-29.4304642,30.4677462
town,,,Mpophomeni,3290,-29.5679739,30.1783688
town,,,Mpuluzi,2335,-26.3470113,30.7759902
province,ZA-MP,iso_3166,Mpumalanga,,-25.8899596,29.3839516
town,,,Mpumuza,,-29.6074286,30.277055
town,,,Mpushini Park,,-28.8981264,31.4391624
town,,,Mqanduli,5080,-31.8160377,28.7597144
town,,,Mqekezweni,,-31.741405,28.4654996
local_municipality,KZN244,municipal_code,Msinga,,-28.5934688,30.3896155
town,,,Msogwaba,,-25.4284656,31.1561578
local_municipality,MP302,municipal_code,Msukaligwa,,-26.5356871,29.9159459
local_municipality,KZN225,municipal_code,Msunduzi,,-29.6636581,30.2226288
town,,,Mtebele,,-31.7130043,27.9458666
local_municipality,KZN285,municipal_code,Mthonjaneni,,-28.5839415,31.2781331
town,,,Mtshanyana,,-31.8151643,27.6641416
local_municipality,KZN275,municipal_code,Mtubatuba,,-28.3126455,32.243903
town,,,Mtunzini,3867,-28.9511533,31.748477
town,,,Mtwalume,,-30.4923342,30.6208147
town,,,Mudabula,,-23.1109191,30.5501983
town,,,Mudimeli,991,-22.8033472,29.9515108
town,,,Mulenzhe,947,-22.9980684,30.5558985
town,,,Mulima,817,-23.3066894,30.0412164
town,,,Munsieville,1739,-26.073152,27.7521583
town,,,Munster,,-31.0033726,30.2535662
town,,,Murchison,,-23.9013762,30.6891502
town,,,Murraysburg,6995,-31.9645989,23.7592948
town,,,Musina,900,-22.3521135,29.9967831
local_municipality,LIM341,municipal_code,Musina,,-22.4355007,29.2910593
local_municipality,LIM342,municipal_code,Mutale,,-22.6136549,30.4291929
town,,,Mziwabantu,,-30.5802851,23.4935039
town,,,Mzongwana,,-30.5210622,28.8308959
town,,,Nababeep,8265,-29.5945883,17.7776289
local_municipality,FS185,municipal_code,Nala,,-27.6272922,26.160106
local_municipality,NW392,municipal_code,Naledi,,-26.8258562,24.5804291
suburb,FS164,municipal_code,Naledi,1861,-26.2574067,27.8186227
local_municipality,NC062,municipal_code,Nama Khoi,,-29.4249814,17.3710074
district_municipality,DC6,municipal_code,Namakwa,,-30.5952339,18.6449061
town,,,Nancefield,1811,-26.3062803,27.8961042
town,,,Napier,7270,-34.4734767,19.8892061
town,,,Ncora,,-31.7891456,27.7265565
town,,,Ncwadi,,-29.7782027,29.970236
town,,,Ndikwe,,-28.5867935,30.8825147
town,,,Ndindini,,-31.3342504,29.7865186
local_municipality,EC105,municipal_code,Ndlambe,,-33.5336445,26.6009151
town,,,Ndlangubo,,-28.7684449,31.6843888
local_municipality,KZN293,municipal_code,Ndwedwe,,-29.433548,30.8706352
town,,,Nebo,,-24.8990846,29.7600795
town,,,Needs Camp,,-32.997074,27.6417898
town,,,Nellmapius,122,-25.7371358,28.3591228
metro_municipality,NMA,municipal_code,Nelson Mandela Bay,,-33.7969212,25.4003618
town,,,Nelspoort,6973,-32.0943241,23.0116752
town,,,Nelspruit,1201,-25.4832181,30.9773815
local_municipality,KZN252,municipal_code,Newcastle,,-27.7004787,29.6848232
town,,,New Eersterus,429,-25.4177309,28.1333552
town,,,New Germany,3610,-29.7977392,30.8746959
town,,,New Hanover,,-29.3570565,30.5200494
town,,,Newlands East,4037,-29.7746107,30.9846998
town,,,Newlands West,4037,-29.783321,30.9512093
district_municipality,DC38,municipal_code,Ngaka Modiri Molema,,-25.8682821,25.5843467
town,,,Ngodwana,1209,-25.5696284,30.675321
town,,,Ngome,,-27.8398141,31.4001582
town,,,Ngqeleni,5140,-31.6703731,29.0124456
town,,,Ngqubusini,,-31.8311598,28.2021429
local_municipality,EC126,municipal_code,Ngqushwa,,-33.2070872,26.9382544
local_municipality,FS203,municipal_code,Ngwathe,,-27.2633443,27.2204705
town,,,Nieu-Bethesda,,-31.8688224,24.5525223
town,,,Nieuwoudtville,8180,-31.3805323,19.099227
town,,,Nigel,1491,-26.4266651,28.4618752
local_municipality,KZN286,municipal_code,Nkandla,,-28.6589079,30.7264052
district_municipality,DC31,municipal_code,Nkangala,,-25.7376926,28.9148445
local_municipality,FS193,municipal_code,Nketoana,,-27.8658109,27.9878417
local_municipality,MP324,municipal_code,Nkomazi,,-25.6399487,31.5473469
town,,,Nkomo,,-23.4089435,30.7779995
local_municipality,EC127,municipal_code,Nkonkobe,,-32.7066375,26.5994485
town,,,Nkuri,,-23.2560024,30.53711
town,,,Nompumelelo,,-32.9555853,27.9216806
town,,,Nondweni,,-28.1863296,30.8015377
local_municipality,KZN265,municipal_code,Nongoma,,-27.89444,31.613515
town,,,Northam,360,-24.9614298,27.2589085
province,ZA-NC,iso_3166,Northern Cape,,-29.2245287,19.5654145
province,ZA-NW,iso_3166,North West,,-26.3680397,24.4357572
town,,,Norvalspont,9797,-30.6295989,25.4527802
town,,,Noupoort,5950,-31.1848263,24.9452896
town,,,Nqadu,,-32.2289704,28.4059298
town,,,Nqamakwe,4990,-32.1998251,27.9355002
local_municipality,KZN242,municipal_code,Nquthu,,-28.2950094,30.4824124
town,,,Nqutu,,-28.2212116,30.6678517
town,,,Nseleni,,-28.6659502,32.020335
town,,,Nsikazi,1240,-25.2788761,31.2324682
local_municipality,EC444,municipal_code,Ntabankulu,,-30.9738521,29.3097768
